	Geneid	CBS138_RPMI_DMSO_A	CBS138_RPMI_VORI_A	CBS138_RPMI_FLUC_A	CBS138_RPMI_DMSO_B	CBS138_RPMI_VORI_B	CBS138_RPMI_FLUC_B	CBS138_RPMI_DMSO_C	CBS138_RPMI_VORI_C	CBS138_RPMI_FLUC_C
3249	CAGL0J07326g	647	836	1413	1090	1452	1454	1119	531	6109
3250	CAGL0J07348g	37	13	52	54	59	77	58	1	171
3251	CAGL0J07370g	1241	1117	1599	1870	1276	1885	1620	685	5500
3252	CAGL0J07392g	970	1281	1573	1755	1507	1755	1164	433	6084
3253	CAGL0J07414g	144	256	202	218	182	237	191	57	628
3254	CAGL0J07436g	1032	1469	1767	2217	1396	1476	2121	284	4465
3255	CAGL0J07458g	1398	1717	1331	2351	1585	1700	1236	1353	4998
3256	CAGL0J07480g	289	504	614	545	558	655	683	111	2521
3257	CAGL0J07502g	277	332	497	497	524	523	249	169	1822
3258	CAGL0J07524g	836	1976	1919	1658	1660	2476	1054	1252	7814
3259	CAGL0J07546g	501	1670	1373	840	1187	1322	570	616	3444
3260	CAGL0J07568g	8332	47697	35416	33121	28390	48983	27851	12080	91709
3261	CAGL0J07590g	368	1684	966	1037	1011	1408	768	261	3688
3262	CAGL0J07612g	9132	48250	41725	51225	45598	62420	27604	29124	172409
3263	CAGL0J07634g	256	428	389	404	398	602	247	274	2428
3264	CAGL0J07656g	1276	7480	5869	2767	5437	6892	2455	2825	19994
3265	CAGL0J07678g	3521	2373	4219	3971	3565	3058	3687	433	13885
3266	CAGL0J07700g	112	87	86	108	73	80	88	17	300
3267	CAGL0J07722g	829	1220	1453	1512	1280	1717	1108	303	4961
3268	CAGL0J07744g	2491	3387	3172	4042	3273	3528	2853	1329	11697
3269	CAGL0J07766g	1783	1554	1199	3089	1569	1288	1785	645	4447
3270	CAGL0J07788g	810	1666	1731	1779	1641	2107	1171	736	5390
3271	CAGL0J07810g	1779	3442	3380	2813	2972	4677	1548	1784	13046
3272	CAGL0J07832g	1454	2828	2322	2144	1987	2389	1592	1363	8362
3273	CAGL0J07854g	628	2155	1690	1559	1573	2087	1016	966	6008
3274	CAGL0J07876g	223	177	478	415	299	592	327	438	1799
3275	CAGL0J07898g	2787	6332	5435	3603	4236	5818	2382	2218	15179
3276	CAGL0J07920g	777	1541	1582	923	1206	1391	851	424	4414
