"","gene","baseMean","log2FC","stderror","padj","standard_cg","database_cg","systematic_sc","standard_sc","database_sc"
"163","CAGL0I01606g",1342.23996458685,-1.39420535878321,0.186246076604595,1.80672380669347e-12,"","CAL0132502","YJR041C","URB2","S000003802"
"164","CAGL0I01826g",1087.54955735646,-1.45736972866654,0.228124343526342,2.51099611363995e-09,"","CAL0130023","YHR148W","IMP3","S000001191"
"165","CAGL0I01848g",1152.98643046109,-1.14608766663615,0.172087942014696,4.55733644845214e-10,"","CAL0132186","YHR149C","SKG6","S000001192"
"166","CAGL0I01914g",334.659161242484,-1.50248148602163,0.312886869998703,1.19151797538704e-05,"","CAL0129955","YHR152W","SPO12","S000001195"
"167","CAGL0I02354g",1390.26364415034,-1.40523635164841,0.198995358773974,3.38950239523807e-11,"","CAL0132148","YHR169W","DBP8","S000001212"
"168","CAGL0I02398g",2387.76281657431,-1.26146118044717,0.197832160403476,2.68478532021964e-09,"","CAL0132434","YHR170W","NMD3","S000001213"
"169","CAGL0I02926g",3426.58559247347,-1.29758082407876,0.216424223993563,2.57024696003543e-08,"","CAL0132284","YDR496C","PUF6","S000002904"
"170","CAGL0I03080g",7774.87599001107,-1.00713542889915,0.251767835371052,0.000335541921235718,"URA3","CAL0130376","YEL021W","URA3","S000000747"
"171","CAGL0I03234g",8501.63073526003,-1.58504470705548,0.259076523491102,1.27469604972998e-08,"","CAL0132644","YEL026W","SNU13","S000000752"
"172","CAGL0I03344g",594.739180049521,-1.37489255780438,0.2119629357888,1.37457091873677e-09,"","CAL0130127","YDL167C","NRP1","S000002326"
"173","CAGL0I03608g",2160.89448477551,-1.45116064337408,0.165097326257325,7.90010428601746e-17,"","CAL0132424","YDL153C","SAS10","S000002312"
"174","CAGL0I03630g",1134.87814084528,-1.09760533893935,0.181214763702193,1.81343951009586e-08,"","CAL0132728","YDL150W","RPC53","S000002309"
"175","CAGL0I04730g",3879.3929933997,-1.593817254867,0.22142802217641,1.3544100855802e-11,"HMT1","CAL0132500","YBR034C","HMT1","S000000238"
"176","CAGL0I04818g",1756.96503834145,-1.39290458686387,0.175259325782221,5.98329460702559e-14,"","CAL0132482","YBR038W","CHS2","S000000242"
"177","CAGL0I05500g",1701.5710092184,-1.05909446103771,0.226055643135563,2.0125862212166e-05,"PRS2","CAL0132730","YER099C","PRS2","S000000901"
"178","CAGL0I05588g",896.645047043517,-1.19230028199139,0.21444071619413,2.848385465065e-07,"","CAL0130322","YNR015W","SMM1","S000005298"
"179","CAGL0I05764g",1342.56126542397,-1.39991954035912,0.229476467303632,1.40783011933607e-08,"","CAL0129746","YNR009W","NRM1","S000005292"
"180","CAGL0I06006g",1765.23496855517,-1.60947756379511,0.172667734048886,8.59144441490303e-19,"","CAL0132598","YJL148W","RPA34","S000003684"
